id,keywords,title,generos_concatenados,concat_kw_genres
9691,competition assassination cia bank cat mexican standoff seattle hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle silencer double cross caribbean detroit michigan,Assassins,Action Adventure Crime Thriller,competition assassination cia bank cat mexican standoff seattle hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle silencer double cross caribbean detroit michigan Action Adventure Crime Thriller
12665,dead animal shot to death teenage boy held at gunpoint teacher student relationship albino fainting jacobs ladder christ allegory psionic power healing power looking pale flickering light extrasensory perception,Powder,Drama Fantasy Science Fiction Thriller,dead animal shot to death teenage boy held at gunpoint teacher student relationship albino fainting jacobs ladder christ allegory psionic power healing power looking pale flickering light extrasensory perception Drama Fantasy Science Fiction Thriller
451,individual prostitute alcohol casino love at first sight lovesickness film producer screenwriter hotel room dying and death rage and hate unsociability alcoholism los angeles alcohol abuse attempted suicide,Leaving Las Vegas,Drama Romance,individual prostitute alcohol casino love at first sight lovesickness film producer screenwriter hotel room dying and death rage and hate unsociability alcoholism los angeles alcohol abuse attempted suicide Drama Romance
16420,shakespeare jealousy friends moor,Othello,Drama,shakespeare jealousy friends moor Drama
9263,1970s female friendship coming of age gynecologist photocopier truth or dare woman director,Now and Then,Comedy Drama Family,1970s female friendship coming of age gynecologist photocopier truth or dare woman director Comedy Drama Family
17015,captain napoleonic wars old flame admiral,Persuasion,Drama Romance,captain napoleonic wars old flame admiral Drama Romance
902,clone dream island eye dystopia aging friendship rescue children girl childhood,The City of Lost Children,Fantasy Science Fiction Adventure,clone dream island eye dystopia aging friendship rescue children girl childhood Fantasy Science Fiction Adventure
37557,servant cabaret shanghai diva uncle mistress umbrella,Shanghai Triad,Drama Crime,servant cabaret shanghai diva uncle mistress umbrella Drama Crime
9909,rap music karate high school naval officer teacher amusement park,Dangerous Minds,Drama Crime,rap music karate high school naval officer teacher amusement park Drama Crime
63,schizophrenia philadelphia cassandra syndrom stockholm syndrome time travel post-apocalyptic dystopia lethal virus monkey subterranean,Twelve Monkeys,Science Fiction Thriller Mystery,schizophrenia philadelphia cassandra syndrom stockholm syndrome time travel post-apocalyptic dystopia lethal virus monkey subterranean Science Fiction Thriller Mystery
9598,sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig,Babe,Fantasy Drama Comedy Family,sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig Fantasy Drama Comedy Family
47018,england painter conscientious objector independent film soldier,Carrington,History Drama Romance,england painter conscientious objector independent film soldier History Drama Romance
687,prison rape socially deprived family penalty death penalty despair death row begnadigung therapist self-discovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage and hate unsociability right and justice court electric chair cowardliness,Dead Man Walking,Drama,prison rape socially deprived family penalty death penalty despair death row begnadigung therapist self-discovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage and hate unsociability right and justice court electric chair cowardliness Drama
33689,orphan identical twin,It Takes Two,Comedy Family Romance,orphan identical twin Comedy Family Romance
9603,puberty high school make a match spoiled child gay interest conflict woman director,Clueless,Comedy Drama Romance,puberty high school make a match spoiled child gay interest conflict woman director Comedy Drama Romance
34615,south africa,"Cry, the Beloved Country",Drama,south africa Drama
31174,england shakespeare kidnapping murder king,Richard III,Drama War,england shakespeare kidnapping murder king Drama War
11443,money loss of virginity hiding in a dumpster mercy killing armored truck crushed by a car,Dead Presidents,Action Crime Drama History,money loss of virginity hiding in a dumpster mercy killing armored truck crushed by a car Action Crime Drama History
35196,jealousy medicine fountain court wealth spaniel gloves,Restoration,Drama Romance,jealousy medicine fountain court wealth spaniel gloves Drama Romance
9312,martial arts monster island gore sorcerer tournament violence based on video game hand to hand combat,Mortal Kombat,Action Fantasy,martial arts monster island gore sorcerer tournament violence based on video game hand to hand combat Action Fantasy
577,adultery winter obsession television new hampshire narcissistic personality disorder,To Die For,Fantasy Drama Comedy Thriller,adultery winter obsession television new hampshire narcissistic personality disorder Fantasy Drama Comedy Thriller
11861,wedding vows marriage proposal married couple monogamy advice marriage quilt love family holiday extramarital affair grandmother woman director,How To Make An American Quilt,Drama Romance,wedding vows marriage proposal married couple monogamy advice marriage quilt love family holiday extramarital affair grandmother woman director Drama Romance
807,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer,Se7en,Crime Mystery Thriller,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer Crime Mystery Thriller
10530,culture clash settler forbidden love colony musical gold rush princess romance native american animation virginia star crossed lovers reference to pizarro jamestown virginia pug dog cross cultural relationship musket animate tree indian chief based on myths or folklore 17th century shamanism songs indians vs. settlers animal sidekick powhatan land claim,Pocahontas,Adventure Animation Drama Family,culture clash settler forbidden love colony musical gold rush princess romance native american animation virginia star crossed lovers reference to pizarro jamestown virginia pug dog cross cultural relationship musket animate tree indian chief based on myths or folklore 17th century shamanism songs indians vs. settlers animal sidekick powhatan land claim Adventure Animation Drama Family
8391,professor lgbt woman director,When Night Is Falling,Drama Romance,professor lgbt woman director Drama Romance
629,law relatives theft criminal criminal mastermind hungarian sibling,The Usual Suspects,Drama Crime Thriller,law relatives theft criminal criminal mastermind hungarian sibling Drama Crime Thriller
11448,prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother independent film illegal prostitution child,Mighty Aphrodite,Comedy Romance,prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother independent film illegal prostitution child Comedy Romance
49133,independent film,Lamerica,Drama Foreign,independent film Drama Foreign
26441,sport kids and family soccer woman director,The Big Green,Action Adventure Comedy Family,sport kids and family soccer woman director Action Adventure Comedy Family
97406,alcohol artist music drug band,Georgia,Drama,alcohol artist music drug band Drama
9089,baltimore thanksgiving family clan family conflict generations conflict woman director,Home for the Holidays,Comedy Drama Romance,baltimore thanksgiving family clan family conflict generations conflict woman director Comedy Drama Romance
11010,island letter postman fisherman poet,The Postman,Comedy Drama Romance,island letter postman fisherman poet Comedy Drama Romance
11359,cupboard games puppet parallel world toy comes to life,The Indian in the Cupboard,Adventure Family Fantasy,cupboard games puppet parallel world toy comes to life Adventure Family Fantasy
17182,rape gun self-defense grieving parents,Eye for an Eye,Drama Thriller,rape gun self-defense grieving parents Drama Thriller
2054,composer mentor deaf-mute musical apprentice private life music disabled,Mr. Holland's Opus,Music Drama Family,composer mentor deaf-mute musical apprentice private life music disabled Music Drama Family
10607,date slang hip-hop cousin parody hood gang social satire racism gangster,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,date slang hip-hop cousin parody hood gang social satire racism gangster Comedy
19760,island painting thief seasickness,Two If by Sea,Comedy Romance,island painting thief seasickness Comedy Romance
9536,biotope vegetarian pollution,Bio-Dome,Comedy,biotope vegetarian pollution Comedy
11525,hacker virtual reality computer sword fight,Lawnmower Man 2: Beyond Cyberspace,Action Science Fiction,hacker virtual reality computer sword fight Action Science Fiction
4482,love triangle southern france estate agent menage a trois van woman director,French Twist,Comedy Romance,love triangle southern france estate agent menage a trois van woman director Comedy Romance
10634,rap music parent child relationship rapper job,Friday,Comedy,rap music parent child relationship rapper job Comedy
755,dancing brother brother relationship sexual obsession showdown sheriff eroticism nudity bank robber vampire holy water siege stripper priest explosion extreme violence bank robbery preacher hostage situation crucifix recreational vehicle blood spurting convenience store female vampire mexican american border nightclub entertainer boa constrictor,From Dusk Till Dawn,Horror Action Thriller Crime,dancing brother brother relationship sexual obsession showdown sheriff eroticism nudity bank robber vampire holy water siege stripper priest explosion extreme violence bank robbery preacher hostage situation crucifix recreational vehicle blood spurting convenience store female vampire mexican american border nightclub entertainer boa constrictor Horror Action Thriller Crime
11859,bomb miami sex detective handcuffs based on novel hostage fbi kidnapping russian kgb chase sadism parking garage pizza police protection psychopath remake car crash conspiracy on the run fugitive shootout gunfight sadist foot chase police detective police station car chase held at gunpoint fbi agent double cross cult film computer hacker machine gun swat team grenade launcher underwater scene rogue agent woman lawyer damsel in distress,Fair Game,Action Thriller Romance,bomb miami sex detective handcuffs based on novel hostage fbi kidnapping russian kgb chase sadism parking garage pizza police protection psychopath remake car crash conspiracy on the run fugitive shootout gunfight sadist foot chase police detective police station car chase held at gunpoint fbi agent double cross cult film computer hacker machine gun swat team grenade launcher underwater scene rogue agent woman lawyer damsel in distress Action Thriller Romance
28387,college,Kicking and Screaming,Comedy Drama Romance,college Comedy Drama Romance
48750,paris nun boxer lawyer jewish,Les Miserables,Drama History,paris nun boxer lawyer jewish Drama History
20927,florist family relationships,Bed of Roses,Drama Romance,florist family relationships Drama Romance
36929,bully,Big Bully,Comedy Family,bully Comedy Family
9102,man vs machine alien planet struggle for survival,Screamers,Horror Science Fiction,man vs machine alien planet struggle for survival Horror Science Fiction
27526,loss of daughter hit-and-run driving  revenge suspense independent film tragedy,The Crossing Guard,Drama Thriller,loss of daughter hit-and-run driving  revenge suspense independent film tragedy Drama Thriller
9623,jurors blackmail court case son trial courtroom,The Juror,Drama Thriller,jurors blackmail court case son trial courtroom Drama Thriller
46785,fish money celebration goldfish,The White Balloon,Family Drama,fish money celebration goldfish Family Drama
400,father son relationship bounty hunter boat way of life coffin denver godmother paranoia hitman friendship psychopath revenge murder independent film mafia diner blood gangster violence illegal prostitution extramarital affair,Things to Do in Denver When You're Dead,Drama Crime,father son relationship bounty hunter boat way of life coffin denver godmother paranoia hitman friendship psychopath revenge murder independent film mafia diner blood gangster violence illegal prostitution extramarital affair Drama Crime
880,suicide underdog free love philosophy rape mentally disabled loss of mother village life world war ii feminism indian summer  family history widow peasant village mathematics freedom right and justice single homosexuality mother daughter relationship domestic violence university woman director,Antonia's Line,Drama Comedy,suicide underdog free love philosophy rape mentally disabled loss of mother village life world war ii feminism indian summer  family history widow peasant village mathematics freedom right and justice single homosexuality mother daughter relationship domestic violence university woman director Drama Comedy
146599,racial segregation family relationships rural setting african american,Once Upon a Time... When We Were Colored,Romance Drama,racial segregation family relationships rural setting african american Romance Drama
8447,class society rich woman - poor man scientist naturalist insect,Angels and Insects,Drama Romance,class society rich woman - poor man scientist naturalist insect Drama Romance
10534,sailing trip diary sailing survival coming of age teenage boy discipline squall sail ship captain caribbean male bonding seasickness storm at sea 1960s,White Squall,Action Drama,sailing trip diary sailing survival coming of age teenage boy discipline squall sail ship captain caribbean male bonding seasickness storm at sea 1960s Action Drama
17414,boss fistfight bully orangutan hotel manager,Dunston Checks In,Adventure Comedy Family,boss fistfight bully orangutan hotel manager Adventure Comedy Family
13997,nitrous oxide candid camera double act political satire crooked politician woman director,Black Sheep,Comedy,nitrous oxide candid camera double act political satire crooked politician woman director Comedy
2086,assassination train station politics los angeles,Nick of Time,Crime Drama Thriller,assassination train station politics los angeles Crime Drama Thriller
9095,servant monster laboratory jekyll and hyde housemaid 19th century,Mary Reilly,Drama Horror Thriller Romance,servant monster laboratory jekyll and hyde housemaid 19th century Drama Horror Thriller Romance
12158,vampire half vampire,Vampire in Brooklyn,Comedy Horror Romance,vampire half vampire Comedy Horror Romance
9283,hometown,Beautiful Girls,Comedy Drama Romance,hometown Comedy Drama Romance
9208,helicopter river captain underground mexican standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park ranger desert military nuclear device boxing stealth aircraft abandoned mine humvee,Broken Arrow,Action Adventure Drama Thriller,helicopter river captain underground mexican standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park ranger desert military nuclear device boxing stealth aircraft abandoned mine humvee Action Adventure Drama Thriller
40154,play hamlet christmas actor,A Midwinter's Tale,Comedy,play hamlet christmas actor Comedy
406,paris neo-nazi skinhead robbery police brutality hip-hop gun socially deprived family breakdance arabian boredom revenge suburb violence police officer unemployment capture xenophobia,La Haine,Drama,paris neo-nazi skinhead robbery police brutality hip-hop gun socially deprived family breakdance arabian boredom revenge suburb violence police officer unemployment capture xenophobia Drama
63076,narration hollywood prostitution,Heidi Fleiss: Hollywood Madam,Documentary,narration hollywood prostitution Documentary
11062,corruption undercover war on drugs mayor drug dealer presidential election undercover agent investigation police drug,City Hall,Drama Thriller,corruption undercover war on drugs mayor drug dealer presidential election undercover agent investigation police drug Drama Thriller
13685,brother brother relationship robbery burglar language barrier motel independent film psychiatric hospital maid theft nervous breakdown escapade laundry room,Bottle Rocket,Comedy Crime Drama,brother brother relationship robbery burglar language barrier motel independent film psychiatric hospital maid theft nervous breakdown escapade laundry room Comedy Crime Drama
2045,wife husband relationship experiment police murder suspense memory forensic gunman animal experimentation,Unforgettable,Drama Mystery Science Fiction Thriller,wife husband relationship experiment police murder suspense memory forensic gunman animal experimentation Drama Mystery Science Fiction Thriller
9614,loss of mother loss of father golf sport taxes,Happy Gilmore,Comedy,loss of mother loss of father golf sport taxes Comedy
688,farewell adultery love at first sight photographer wife husband relationship iowa love of one's life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary,The Bridges of Madison County,Drama Romance,farewell adultery love at first sight photographer wife husband relationship iowa love of one's life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary Drama Romance
11907,prophecy voodoo single falling in love woman director rich man,Nobody Loves Me,Drama Comedy Family,prophecy voodoo single falling in love woman director rich man Drama Comedy Family
10874,island pirate gang puppet treasure hunt,Muppet Treasure Island,Action Comedy Music Family Adventure,island pirate gang puppet treasure hunt Action Comedy Music Family Adventure
96357,ex-con,Headless Body in Topless Bar,Crime,ex-con Crime
197,individual scotland in love with enemy legend independence idealism revolt tyranny,Braveheart,Action Drama History War,individual scotland in love with enemy legend independence idealism revolt tyranny Action Drama History War
103,vietnam veteran taxi obsession drug dealer night shift vigilante alienation misanthrope shot to death illegal prostitution loner,Taxi Driver,Crime Drama,vietnam veteran taxi obsession drug dealer night shift vigilante alienation misanthrope shot to death illegal prostitution loner Crime Drama
33542,new york martial arts supermarket gang war disabled child gang wedding diamond bronx duringcreditsstinger,Rumble in the Bronx,Crime Action Comedy Thriller,new york martial arts supermarket gang war disabled child gang wedding diamond bronx duringcreditsstinger Crime Action Comedy Thriller
71754,mining dance lesson coal mining bagpipes,Margaret's Museum,Drama,mining dance lesson coal mining bagpipes Drama
43612,best friend twins country identity swap woman director,Happiness Is in the Field,Comedy,best friend twins country identity swap woman director Comedy
51352,fascism auschwitz typhus victim interview prejudice burglary rabbit,Anne Frank Remembered,Documentary Drama Foreign,fascism auschwitz typhus victim interview prejudice burglary rabbit Documentary Drama Foreign
16934,london england poison based on true story murder serial killer mental institution teenager psychiatrist stepmother social misfit,The Young Poisoner's Handbook,Comedy Crime Drama,london england poison based on true story murder serial killer mental institution teenager psychiatrist stepmother social misfit Comedy Crime Drama
10324,roommate single love independent film best friend brooklyn bridge,If Lucy Fell,Comedy Romance,roommate single love independent film best friend brooklyn bridge Comedy Romance
78406,brother brother relationship twin brother lawyer estate santa barbara california,Steal Big Steal Little,Comedy Drama,brother brother relationship twin brother lawyer estate santa barbara california Comedy Drama
55731,hawaii australia teacher car solar power,Race the Sun,Action Adventure Comedy Drama Family,hawaii australia teacher car solar power Action Adventure Comedy Drama Family
11066,role of women ladykiller success ladies' man chefin casanova womanizer,Boomerang,Comedy Romance,role of women ladykiller success ladies' man chefin casanova womanizer Comedy Romance
11104,ex-girlfriend drug smuggle girlfriend snack bar romance hong kong pineapple expiration date flight attendant,Chungking Express,Drama Comedy Romance,ex-girlfriend drug smuggle girlfriend snack bar romance hong kong pineapple expiration date flight attendant Drama Comedy Romance
2074,lsd looking for  birth parents half-brother independent film,Flirting with Disaster,Comedy Romance,lsd looking for  birth parents half-brother independent film Comedy Romance
27793,flying magic,The Neverending Story III: Escape from Fantasia,Fantasy,flying magic Fantasy
44284,woman director,The Silences of the Palace,Drama,woman director Drama
32622,independent film woman director,Angela,Comedy Drama,independent film woman director Comedy Drama
73067,boy writer ireland flashback troop ship,Frankie Starlight,Drama Romance War,boy writer ireland flashback troop ship Drama Romance War
11863,callgirl san francisco investigation murder,Jade,Action Thriller Mystery Romance,callgirl san francisco investigation murder Action Thriller Mystery Romance
55475,new york emigration dominican republic,Nueba Yol,Comedy Drama Romance,new york emigration dominican republic Comedy Drama Romance
9101,submarine u.s. navy misfit,Down Periscope,Comedy,submarine u.s. navy misfit Comedy
123360,biography,From the Journals of Jean Seberg,Documentary,biography Documentary
5757,homosexuality independent film mockumentary,Man of the Year,Comedy,homosexuality independent film mockumentary Comedy
39428,southern usa based on novel singer south,The Neon Bible,Drama,southern usa based on novel singer south Drama
9302,skab under tv foran nederste hylde,Up Close & Personal,Drama Romance,skab under tv foran nederste hylde Drama Romance
11000,gay drag queen homophobia florida coming out senator politician lgbt crossdressing 1990s,The Birdcage,Comedy,gay drag queen homophobia florida coming out senator politician lgbt crossdressing 1990s Comedy
249882,mountain miracle apparition communism virgin mary,Virgin Mary,Drama,mountain miracle apparition communism virgin mary Drama
16388,love independent film best friend true love irish catholic,The Brothers McMullen,Comedy Drama Romance,love independent film best friend true love irish catholic Comedy Drama Romance
9737,miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference to skittles black cop badge action hero corrupt cop,Bad Boys,Action Comedy Crime Thriller,miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference to skittles black cop badge action hero corrupt cop Action Comedy Crime Thriller
30765,china panda poacher,The Amazing Panda Adventure,Action Adventure Drama Family,china panda poacher Action Adventure Drama Family
10474,sport basketball addiction friends drug,The Basketball Diaries,Drama Crime,sport basketball addiction friends drug Drama Crime
22279,england based on novel liverpool theatre company 1940s,An Awfully Big Adventure,Romance Drama Comedy,england based on novel liverpool theatre company 1940s Romance Drama Comedy
30157,independent film,Amateur,Crime Comedy Drama Thriller,independent film Crime Comedy Drama Thriller
568,moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident,Apollo 13,Drama,moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident Drama
11780,scotland biography 18th century highlands violent man,Rob Roy,Adventure,scotland biography 18th century highlands violent man Adventure
34996,new york philosophy vampire blood student violence,The Addiction,Drama Horror,new york philosophy vampire blood student violence Drama Horror
414,riddle dc comics rose gotham city partner superhero robin broken neck psychologist violence criminal district attorney millionaire falling down stairs tied up tommy gun beretta knocked out super powers disfigurement father figure,Batman Forever,Action Crime Fantasy,riddle dc comics rose gotham city partner superhero robin broken neck psychologist violence criminal district attorney millionaire falling down stairs tied up tommy gun beretta knocked out super powers disfigurement father figure Action Crime Fantasy
649,prostitute adultery double life dual identity jealousy wife husband relationship brothel dream women's sexual identity fantasy masochism independent film,Belle de Jour,Drama Romance,prostitute adultery double life dual identity jealousy wife husband relationship brothel dream women's sexual identity fantasy masochism independent film Drama Romance
1873,burma rangoon doctor,Beyond Rangoon,Drama Thriller,burma rangoon doctor Drama Thriller
5894,smoking corner shop cigarette tobacco cigar independent film,Blue in the Face,Comedy,smoking corner shop cigarette tobacco cigar independent film Comedy
8839,halloween friendship supernatural afterlife friends danger ghost disorder young heroes imaginary supernatural ability mischievous children,Casper,Fantasy Comedy Family,halloween friendship supernatural afterlife friends danger ghost disorder young heroes imaginary supernatural ability mischievous children Fantasy Comedy Family
20649,drug pusher train drug drug lord,Clockers,Mystery Crime Drama,drug pusher train drug drug lord Mystery Crime Drama
10329,gorilla kongo diamond mine diamond,Congo,Action Adventure Drama Mystery Science Fiction Thriller,gorilla kongo diamond mine diamond Action Adventure Drama Mystery Science Fiction Thriller
8963,submarine mutiny russia missile nuclear missile embassy u.s. navy battle for power torpedo military moral dilemma post cold war aircraft carrier chain of command launch code sonar,Crimson Tide,Action Thriller Drama,submarine mutiny russia missile nuclear missile embassy u.s. navy battle for power torpedo military moral dilemma post cold war aircraft carrier chain of command launch code sonar Action Thriller Drama
26564,underground biography art,Crumb,Documentary,underground biography art Documentary
8068,gunslinger anti terror ambush mexico showdown guitar nudity hitman bartender revenge tragic hero shootout mariachi explosion extreme violence brutality drug lord leg brace concealed weapon flashback bookstore,Desperado,Thriller Action Crime,gunslinger anti terror ambush mexico showdown guitar nudity hitman bartender revenge tragic hero shootout mariachi explosion extreme violence brutality drug lord leg brace concealed weapon flashback bookstore Thriller Action Crime
8512,jazz club murder los angeles private detective film noir neo-noir,Devil in a Blue Dress,Drama Mystery Thriller,jazz club murder los angeles private detective film noir neo-noir Drama Mystery Thriller
1572,bomb taxi riddle robbery detective helicopter gold subway ship fistfight police sequel deception shootout new york city explosion violence car chase fbi agent simon says flashback dump truck aqueduct action hero federal reserve bank,Die Hard: With a Vengeance,Action Thriller,bomb taxi riddle robbery detective helicopter gold subway ship fistfight police sequel deception shootout new york city explosion violence car chase fbi agent simon says flashback dump truck aqueduct action hero federal reserve bank Action Thriller
13552,sex eroticism nudity nazis suspense drifter voyeur,The Doom Generation,Action Comedy Crime Drama,sex eroticism nudity nazis suspense drifter voyeur Action Comedy Crime Drama
6520,camelot knight king arthur excalibur knights of the round table,First Knight,Action Adventure Drama Romance,camelot knight king arthur excalibur knights of the round table Action Adventure Drama Romance
9073,human animal relationship whale killer whale,Free Willy 2 - The Adventure Home,Adventure,human animal relationship whale killer whale Adventure
10428,female nudity hacker nudity computer virus virtual reality computer sexual fantasy prank internet cyberpunk teenager new york city secret service computer hacker dream sequence,Hackers,Action Crime Thriller Drama,female nudity hacker nudity computer virus virtual reality computer sexual fantasy prank internet cyberpunk teenager new york city secret service computer hacker dream sequence Action Crime Thriller Drama
17447,gay aids based on play or musical hiv positive,Jeffrey,Comedy Drama Romance,gay aids based on play or musical hiv positive Comedy Drama Romance
9886,brain childhood memory dystopia pharmaceutical industry computer chip courier cyber cyberpunk,Johnny Mnemonic,Adventure Action Drama Science Fiction Thriller,brain childhood memory dystopia pharmaceutical industry computer chip courier cyber cyberpunk Adventure Action Drama Science Fiction Thriller
9482,judge post-apocalyptic dystopia based on comic police officer based on graphic novel frame up dystopic future framed for murder gene prosthetic limb post holocaust dna testing dredd 2000 ad,Judge Dredd,Science Fiction,judge post-apocalyptic dystopia based on comic police officer based on graphic novel frame up dystopic future framed for murder gene prosthetic limb post holocaust dna testing dredd 2000 ad Science Fiction
19326,stripper jury jurist independent film jury duty verdict,Jury Duty,Comedy Drama,stripper jury jurist independent film jury duty verdict Comedy Drama
9344,puberty first time,Kids,Drama Crime,puberty first time Drama Crime
9071,cinema independent film filmmaker,Living in Oblivion,Drama Comedy,cinema independent film filmmaker Drama Comedy
8973,fanatic supernatural wizardry resurrection sect occultism,Lord of Illusions,Mystery Horror Thriller,fanatic supernatural wizardry resurrection sect occultism Mystery Horror Thriller
47608,suicide attempt college teen angst mental illness woman director,Mad Love,Drama Family Romance,suicide attempt college teen angst mental illness woman director Drama Family Romance
2293,sex game show slacker shopping mall ex-boyfriend ex-girlfriend relationship jay and silent bob silent man coke bandleader aftercreditsstinger,Mallrats,Romance Comedy,sex game show slacker shopping mall ex-boyfriend ex-girlfriend relationship jay and silent bob silent man coke bandleader aftercreditsstinger Romance Comedy
9070,based on tv series tokusatsu superhero team ethnic diversity super sentai power rangers mighty morphin power rangers mmpr,Mighty Morphin Power Rangers: The Movie,Action Adventure Science Fiction Family Fantasy,based on tv series tokusatsu superhero team ethnic diversity super sentai power rangers mighty morphin power rangers mmpr Action Adventure Science Fiction Family Fantasy
68274,widow female friendship grief death of husband,Moonlight and Valentino,Comedy Drama Romance,widow female friendship grief death of husband Comedy Drama Romance
48787,chase police murder mute disk,Mute Witness,Thriller Foreign,chase police murder mute disk Thriller Foreign
34574,new york vampire dracula,Nadja,Horror Thriller,new york vampire dracula Horror Thriller
1642,cheating new identity computer virus chase computer stalking,The Net,Crime Drama Mystery Thriller Action,cheating new identity computer virus chase computer stalking Crime Drama Mystery Thriller Action
11472,parent child relationship baby marriage pregnancy child wish,Nine Months,Comedy,parent child relationship baby marriage pregnancy child wish Comedy
36196,library party independent film free spirit woman director librarian,Party Girl,Comedy,library party independent film free spirit woman director librarian Comedy
