movie_id,movie_title,id_id,name_name
16420,Othello,97,Castle Rock Entertainment
9263,Now and Then,12,New Line Cinema
17015,Persuasion,288,BBC Films
902,The City of Lost Children,311,Procirep
902,The City of Lost Children,590,Constellation Productions
902,The City of Lost Children,591,France 3 Cinéma
902,The City of Lost Children,592,Claudie Ossard Productions
902,The City of Lost Children,850,Eurimages
902,The City of Lost Children,851,MEDIA Programme of the European Union
902,The City of Lost Children,1871,Cofimage 5
902,The City of Lost Children,6639,Televisión Española (TVE)
902,The City of Lost Children,7237,Tele München Fernseh Produktionsgesellschaft (TMG)
902,The City of Lost Children,8170,Club d'Investissement Média
902,The City of Lost Children,9335,Canal+ España
902,The City of Lost Children,12009,Elías Querejeta Producciones Cinematográficas S.L.
902,The City of Lost Children,18367,Centre National de la Cinématographie (CNC)
902,The City of Lost Children,25020,Victoires Productions
902,The City of Lost Children,25021,Constellation
902,The City of Lost Children,25129,Lumière Pictures
902,The City of Lost Children,47532,Canal+
902,The City of Lost Children,68517,Studio Image
902,The City of Lost Children,79437,Cofimage 4
902,The City of Lost Children,79438,Ossane
902,The City of Lost Children,79439,Phoenix Images
37557,Shanghai Triad,2588,Ministère des Affaires Étrangères
37557,Shanghai Triad,4507,Alpha Films
37557,Shanghai Triad,23647,La Sept Cinéma
9909,Dangerous Minds,915,Hollywood Pictures
9909,Dangerous Minds,10103,Via Rosa Productions
9909,Dangerous Minds,10288,Don Simpson/Jerry Bruckheimer Films
63,Twelve Monkeys,33,Universal Pictures
63,Twelve Monkeys,507,Atlas Entertainment
63,Twelve Monkeys,17031,Classico
78802,Wings of Courage,70801,Iwerks Entertainment
9598,Babe,33,Universal Pictures
9598,Babe,2537,Kennedy Miller Productions
47018,Carrington,694,StudioCanal
47018,Carrington,874,Cinéa
47018,Carrington,8363,Euston Films
47018,Carrington,19316,Freeway Films
47018,Carrington,30226,European Co-production Fund
47018,Carrington,31080,Polygram Filmed Entertainment
47018,Carrington,44821,Orsans Productions
687,Dead Man Walking,406,Havoc
687,Dead Man Walking,1382,PolyGram Filmed Entertainment
687,Dead Man Walking,10163,Working Title Films
139405,Across the Sea of Time,53390,Sony New Technologies
33689,It Takes Two,6130,Dualstar Productions
33689,It Takes Two,6194,Warner Bros.
33689,It Takes Two,11661,Rysher Entertainment
33689,It Takes Two,89131,Orr & Cruickshank
9603,Clueless,4,Paramount Pictures
34615,"Cry, the Beloved Country",53009,Miramax
34615,"Cry, the Beloved Country",85681,Distant Horizon
34615,"Cry, the Beloved Country",89840,Alpine Pty Limited
31174,Richard III,871,British Screen
31174,Richard III,34237,Mayfair Entertainment International
11443,Dead Presidents,175,Caravan Pictures
11443,Dead Presidents,476,Underworld Entertainment
11443,Dead Presidents,915,Hollywood Pictures
35196,Restoration,14,Miramax Films
9312,Mortal Kombat,12,New Line Cinema
9312,Mortal Kombat,4174,Threshold Entertainment
577,To Die For,364,The Rank Organisation
577,To Die For,441,Columbia Pictures Corporation
11861,How To Make An American Quilt,33,Universal Pictures
11861,How To Make An American Quilt,56,Amblin Entertainment
807,Se7en,12,New Line Cinema
807,Se7en,4286,Juno Pix
807,Se7en,65394,Cecchi Gori Pictures
10530,Pocahontas,2,Walt Disney Pictures
10530,Pocahontas,10217,Walt Disney Feature Animation
8391,When Night Is Falling,2480,Alliance Communications Corporation
629,The Usual Suspects,361,Blue Parrot Productions
629,The Usual Suspects,9168,Bad Hat Harry Productions
11448,Mighty Aphrodite,14,Miramax Films
11448,Mighty Aphrodite,1030,Magnolia Pictures
26441,The Big Green,2,Walt Disney Pictures
26441,The Big Green,175,Caravan Pictures
97406,Georgia,14,Miramax Films
97406,Georgia,7832,CiBy 2000
124057,Kids of the Round Table,7320,Telefilm Canada
124057,Kids of the Round Table,10260,Melenny Productions
9089,Home for the Holidays,4,Paramount Pictures
9089,Home for the Holidays,802,Egg Pictures
9089,Home for the Holidays,1382,PolyGram Filmed Entertainment
11359,The Indian in the Cupboard,4,Paramount Pictures
11359,The Indian in the Cupboard,441,Columbia Pictures Corporation
11359,The Indian in the Cupboard,862,The Kennedy/Marshall Company
17182,Eye for an Eye,4,Paramount Pictures
2054,Mr. Holland's Opus,915,Hollywood Pictures
2054,Mr. Holland's Opus,916,The Charlie Mopic Company
2054,Mr. Holland's Opus,1382,PolyGram Filmed Entertainment
2054,Mr. Holland's Opus,10201,Interscope Communications
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,14,Miramax Films
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,3492,Island Pictures
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,5441,Ivory Way Productions
19760,Two If by Sea,6194,Warner Bros.
19760,Two If by Sea,10210,Morgan Creek Productions
9536,Bio-Dome,8411,Metro-Goldwyn-Mayer (MGM)
9536,Bio-Dome,11061,Motion Picture Corporation of America (MPCA)
9536,Bio-Dome,36390,3 Arts Entertainment
9536,Bio-Dome,38003,Weasel Productions
11525,Lawnmower Man 2: Beyond Cyberspace,12,New Line Cinema
40628,Two Bits,14,Miramax Films
4482,French Twist,82,Renn Productions
4482,French Twist,1614,Les Films Flam
4482,French Twist,3823,TF1 Films Production
4482,French Twist,5358,Canal+
10634,Friday,12,New Line Cinema
755,From Dusk Till Dawn,59,A Band Apart
755,From Dusk Till Dawn,7405,Dimension Films
755,From Dusk Till Dawn,11705,Los Hooligans Productions
755,From Dusk Till Dawn,53009,Miramax
11859,Fair Game,1885,Silver Pictures
11859,Fair Game,6194,Warner Bros.
28387,Kicking and Screaming,5841,Castleberg Productions
28387,Kicking and Screaming,5842,Sandollar Productions
48750,Les Miserables,1742,Les Films 13
48750,Les Miserables,5358,Canal+
48750,Les Miserables,22123,TF1
20927,Bed of Roses,12,New Line Cinema
20927,Bed of Roses,4286,Juno Pix
36929,Big Bully,6194,Warner Bros.
36929,Big Bully,10210,Morgan Creek Productions
9102,Screamers,3388,The Movie Network (TMN)
9102,Screamers,4899,Allegro Films
9102,Screamers,7958,Fuji Eight Company Ltd.
9102,Screamers,23096,Fries Film Group
9102,Screamers,23097,Super Ecran
9102,Screamers,23098,Triumph Films
124626,Nico Icon,4606,Zweites Deutsches Fernsehen (ZDF)
124626,Nico Icon,83201,Ciak Filmproduktion
124626,Nico Icon,93174,Bluehorse Films
27526,The Crossing Guard,14,Miramax Films
9623,The Juror,441,Columbia Pictures Corporation
46785,The White Balloon,38953,I.R.I.B. Channel 2
46785,The White Balloon,38954,Ferdos Films
400,Things to Do in Denver When You're Dead,14,Miramax Films
880,Antonia's Line,575,Bergen Film
880,Antonia's Line,576,Bard Entertainments
880,Antonia's Line,577,NPS Televisie
146599,Once Upon a Time... When We Were Colored,38196,BET Pictures
146599,Once Upon a Time... When We Were Colored,38197,United Image Entertainme
8447,Angels and Insects,2492,Playhouse International Pictures
8447,Angels and Insects,8888,The Samuel Goldwyn Company
10534,White Squall,915,Hollywood Pictures
10534,White Squall,1644,Largo Entertainment
10534,White Squall,1645,Scott Free Productions
17414,Dunston Checks In,306,Twentieth Century Fox Film Corporation
17414,Dunston Checks In,3311,Joe Wizan/Todd Black
13997,Black Sheep,4,Paramount Pictures
2086,Nick of Time,4,Paramount Pictures
61548,The Journey of August King,14,Miramax Films
61548,The Journey of August King,4665,Addis Wechsler Pictures
9095,Mary Reilly,559,TriStar Pictures
9095,Mary Reilly,18737,NFH Productions
12158,Vampire in Brooklyn,4,Paramount Pictures
9283,Beautiful Girls,14,Miramax Films
9283,Beautiful Girls,979,Woods Entertainment
9208,Broken Arrow,306,Twentieth Century Fox Film Corporation
9208,Broken Arrow,456,WCG Entertainment Productions
9208,Broken Arrow,11362,Mark Gordon Productions
40154,A Midwinter's Tale,97,Castle Rock Entertainment
40154,A Midwinter's Tale,75942,Midwinter Films
406,La Haine,802,Egg Pictures
406,La Haine,1382,PolyGram Filmed Entertainment
406,La Haine,5358,Canal+
406,La Haine,5869,Les Productions Lazennec
406,La Haine,16366,La Sept Cinéma
406,La Haine,22684,Kasso Inc. Productions
406,La Haine,68517,Studio Image
406,La Haine,68518,Cofinergie 6
45549,Shopping,181,Channel Four Films
63076,Heidi Fleiss: Hollywood Madam,3324,British Broadcasting Corporation (BBC)
63076,Heidi Fleiss: Hollywood Madam,7025,Westdeutscher Rundfunk (WDR)
63076,Heidi Fleiss: Hollywood Madam,12113,Canadian Broadcasting Corporation (CBC)
63076,Heidi Fleiss: Hollywood Madam,12911,Cinemax Reel Life
63076,Heidi Fleiss: Hollywood Madam,12912,InPictures
63076,Heidi Fleiss: Hollywood Madam,12913,Lafayette Films
11062,City Hall,5,Columbia Pictures
11062,City Hall,97,Castle Rock Entertainment
13685,Bottle Rocket,18,Gracie Films
13685,Bottle Rocket,441,Columbia Pictures Corporation
47475,Mr. Wrong,9195,Touchstone Pictures
2045,Unforgettable,8411,Metro-Goldwyn-Mayer (MGM)
2045,Unforgettable,10308,Dino De Laurentiis Company
2045,Unforgettable,10355,Spelling Films
9614,Happy Gilmore,33,Universal Pictures
9614,Happy Gilmore,1606,Brillstein-Grey Entertainment
9614,Happy Gilmore,3929,Robert Simonds Productions
688,The Bridges of Madison County,56,Amblin Entertainment
688,The Bridges of Madison County,171,Malpaso Productions
688,The Bridges of Madison County,6194,Warner Bros.
10874,Muppet Treasure Island,2,Walt Disney Pictures
10874,Muppet Treasure Island,2504,Jim Henson Productions
10874,Muppet Treasure Island,6254,"Jim Henson Company, The"
197,Braveheart,4564,Icon Entertainment International
197,Braveheart,7965,The Ladd Company
197,Braveheart,11353,B.H. Finance C.V.
103,Taxi Driver,441,Columbia Pictures Corporation
103,Taxi Driver,46059,Italo/Judeo Productions
103,Taxi Driver,46060,Bill/Phillips
33542,Rumble in the Bronx,12,New Line Cinema
33542,Rumble in the Bronx,2521,Golden Harvest Company
43566,Before and After,175,Caravan Pictures
43566,Before and After,915,Hollywood Pictures
71754,Margaret's Museum,806,Téléfilm Canada
71754,Margaret's Museum,2055,Skyline Films
71754,Margaret's Museum,3498,Malofilm
71754,Margaret's Museum,9116,Société de Développement des Entreprises Culturelles (SODEC)
71754,Margaret's Museum,12745,British Screen Productions
71754,Margaret's Museum,17027,National Film Board of Canada (NFB)
71754,Margaret's Museum,22150,imX Communications
71754,Margaret's Museum,38673,Glace Bay Pictures
71754,Margaret's Museum,38674,Ciné Télé Action
71754,Margaret's Museum,40534,Nova Scotia Film Development Corporation
71754,Margaret's Museum,85045,Ranfilm
43612,Happiness Is in the Field,83,France 2 Cinéma
43612,Happiness Is in the Field,591,France 3 Cinéma
43612,Happiness Is in the Field,694,StudioCanal
43612,Happiness Is in the Field,883,Les Productions du Champ Poirier
43612,Happiness Is in the Field,885,Téléma Productions
16934,The Young Poisoner's Handbook,3236,Bavaria Film and Television Fund
10324,If Lucy Fell,559,TriStar Pictures
10324,If Lucy Fell,11061,Motion Picture Corporation of America (MPCA)
78406,Steal Big Steal Little,11308,Savoy Pictures
55731,Race the Sun,559,TriStar Pictures
11066,Boomerang,4,Paramount Pictures
11104,Chungking Express,540,Jet Tone Production
11104,Chungking Express,10932,The Criterion Collection
37975,The Star Maker,371,Cecchi Gori Group Tiger Cinematografica
2074,Flirting with Disaster,14,Miramax Films
27793,The Neverending Story III: Escape from Fantasia,264,Studio Babelsberg
27793,The Neverending Story III: Escape from Fantasia,1766,Dieter Geissler Filmproduktion
27793,The Neverending Story III: Escape from Fantasia,1979,Cinevox Filmproduktion GmbH
27793,The Neverending Story III: Escape from Fantasia,6194,Warner Bros.
27793,The Neverending Story III: Escape from Fantasia,53009,Miramax
44284,The Silences of the Palace,22029,Canal Horizons
44284,The Silences of the Palace,22618,Mat Films
44284,The Silences of the Palace,71842,Cinétéléfilms
73067,Frankie Starlight,8,Fine Line Features
73067,Frankie Starlight,181,Channel Four Films
73067,Frankie Starlight,1898,Bórd Scannán na hÉireann
73067,Frankie Starlight,5358,Canal+
11863,Jade,4,Paramount Pictures
55475,Nueba Yol,93488,Cigua Films
55475,Nueba Yol,93489,D'Pelicula
9101,Down Periscope,306,Twentieth Century Fox Film Corporation
123360,From the Journals of Jean Seberg,68229,Couch Potatoe Productions
39428,The Neon Bible,181,Channel Four Films
39428,The Neon Bible,38778,Academy
39428,The Neon Bible,94477,Mayfair Films
39428,The Neon Bible,94478,Iberoamerica Films
9302,Up Close & Personal,1504,Cinergi Pictures Entertainment
9302,Up Close & Personal,9195,Touchstone Pictures
11000,The Birdcage,60,United Artists
16388,The Brothers McMullen,43,Fox Searchlight Pictures
9737,Bad Boys,5,Columbia Pictures
9737,Bad Boys,10288,Don Simpson/Jerry Bruckheimer Films
30765,The Amazing Panda Adventure,6194,Warner Bros.
10474,The Basketball Diaries,12,New Line Cinema
10474,The Basketball Diaries,3492,Island Pictures
22279,An Awfully Big Adventure,8,Fine Line Features
22279,An Awfully Big Adventure,5996,BBC
22279,An Awfully Big Adventure,12745,British Screen Productions
22279,An Awfully Big Adventure,16027,Portman Productions
30157,Amateur,181,Channel Four Films
30157,Amateur,3644,Zenith Entertainment
30157,Amateur,3906,American Playhouse
30157,Amateur,7248,Union Générale Cinématographique (UGC)
30157,Amateur,16366,La Sept Cinéma
30157,Amateur,37909,True Fiction Pictures
568,Apollo 13,23,Imagine Entertainment
568,Apollo 13,33,Universal Pictures
11780,Rob Roy,60,United Artists
11780,Rob Roy,8989,Talisman Productions
34996,The Addiction,236,October Films
34996,The Addiction,1214,Guild
34996,The Addiction,5353,Fastnet Films
414,Batman Forever,6194,Warner Bros.
414,Batman Forever,31080,Polygram Filmed Entertainment
649,Belle de Jour,386,Paris Films Productions
649,Belle de Jour,387,Five Films
649,Belle de Jour,11290,Robert et Raymond Hakim
1873,Beyond Rangoon,5,Columbia Pictures
1873,Beyond Rangoon,97,Castle Rock Entertainment
5894,Blue in the Face,14,Miramax Films
5894,Blue in the Face,30334,InterAL
1775,Canadian Bacon,1382,PolyGram Filmed Entertainment
8839,Casper,33,Universal Pictures
8839,Casper,56,Amblin Entertainment
8839,Casper,11098,The Harvey Entertainment Company
20649,Clockers,33,Universal Pictures
20649,Clockers,4319,40 Acres & A Mule Filmworks
10329,Congo,4,Paramount Pictures
10329,Congo,7383,"Kennedy/Marshall Company, The"
8963,Crimson Tide,915,Hollywood Pictures
8963,Crimson Tide,10288,Don Simpson/Jerry Bruckheimer Films
26564,Crumb,4532,Superior Pictures
8068,Desperado,5,Columbia Pictures
8068,Desperado,11705,Los Hooligans Productions
8512,Devil in a Blue Dress,559,TriStar Pictures
8512,Devil in a Blue Dress,2510,Mundy Lane Entertainment
1572,Die Hard: With a Vengeance,306,Twentieth Century Fox Film Corporation
1572,Die Hard: With a Vengeance,1504,Cinergi Pictures Entertainment
13552,The Doom Generation,729,Why Not Productions
13552,The Doom Generation,1474,Desperate Pictures
13552,The Doom Generation,2765,Blurco
13552,The Doom Generation,18902,The Teen Angst Movie Company
259209,Feast of July,9195,Touchstone Pictures
259209,Feast of July,20740,Merchant Ivory Productions
6520,First Knight,441,Columbia Pictures Corporation
6520,First Knight,10158,First Knight Productions
9073,Free Willy 2 - The Adventure Home,508,Regency Enterprises
9073,Free Willy 2 - The Adventure Home,644,Alcor Films
9073,Free Willy 2 - The Adventure Home,5358,Canal+
9073,Free Willy 2 - The Adventure Home,5739,Donner/Shuler-Donner Productions
9073,Free Willy 2 - The Adventure Home,6194,Warner Bros.
10428,Hackers,60,United Artists
10428,Hackers,87394,Suftley
17447,Jeffrey,12909,The Booking Office
17447,Jeffrey,12910,Workin' Man Films
9886,Johnny Mnemonic,559,TriStar Pictures
9886,Johnny Mnemonic,2480,Alliance Communications Corporation
9482,Judge Dredd,915,Hollywood Pictures
9482,Judge Dredd,1504,Cinergi Pictures Entertainment
19326,Jury Duty,559,TriStar Pictures
9344,Kids,14,Miramax Films
9071,Living in Oblivion,13187,JDI productions
9071,Living in Oblivion,13190,Lemon Sky Productions
8973,Lord of Illusions,60,United Artists
8973,Lord of Illusions,3557,Seraphim Films
15730,Love & Human Remains,1203,The Ontario Film Development Corporation
15730,Love & Human Remains,2267,First Choice Films
15730,Love & Human Remains,4350,Atlantis Films
15730,Love & Human Remains,7320,Telefilm Canada
15730,Love & Human Remains,7828,Max Films Productions
15730,Love & Human Remains,11578,Super Écran
15730,Love & Human Remains,35859,Société Générale des Industries Culturelles du Québec (SOGIC)
47608,Mad Love,9195,Touchstone Pictures
2293,Mallrats,33,Universal Pictures
2293,Mallrats,37,Gramercy Pictures
2293,Mallrats,11462,Alphaville Films
2293,Mallrats,16934,View Askew Productions
9070,Mighty Morphin Power Rangers: The Movie,306,Twentieth Century Fox Film Corporation
9070,Mighty Morphin Power Rangers: The Movie,2106,Saban Entertainment
9070,Mighty Morphin Power Rangers: The Movie,9255,Toei Company
68274,Moonlight and Valentino,1382,PolyGram Filmed Entertainment
68274,Moonlight and Valentino,10163,Working Title Films
48787,Mute Witness,16561,Comet Film Produktion GmbH
48787,Mute Witness,38959,Avrora Media
48787,Mute Witness,38960,Cobblestone Pictures
34574,Nadja,37897,Kino Link Company
1642,The Net,5,Columbia Pictures
11472,Nine Months,306,Twentieth Century Fox Film Corporation
11472,Nine Months,436,1492 Pictures
36196,Party Girl,37890,Party Productions
11980,The Prophecy,7405,Dimension Films
58372,Reckless,2492,Playhouse International Pictures
58372,Reckless,3906,American Playhouse
58372,Reckless,28205,"Samuel Goldwyn Company, The"
32646,Safe,1422,Killer Films
32646,Safe,3906,American Playhouse
32646,Safe,38692,Kardana Films
32646,Safe,39861,Chemical Films
10533,The Scarlet Letter,915,Hollywood Pictures
10533,The Scarlet Letter,1504,Cinergi Pictures Entertainment
10802,Showgirls,60,United Artists
10802,Showgirls,183,Le Studio Canal+
10802,Showgirls,14723,Carolco Pictures
10149,Smoke,14,Miramax Films
18402,Something to Talk About,705,Spring Creek Productions
18402,Something to Talk About,6194,Warner Bros.
18402,Something to Talk About,16368,Hawn / Sylbert Movie Company
9348,Species,8411,Metro-Goldwyn-Mayer (MGM)
139408,The Stars Fell on Henrietta,171,Malpaso Productions
139408,The Stars Fell on Henrietta,3864,Butcher's Run Films
139408,The Stars Fell on Henrietta,6194,Warner Bros.
281,Strange Days,574,Lightstorm Entertainment
5967,The Umbrellas of Cherbourg,1080,Beta Film
5967,The Umbrellas of Cherbourg,1147,Madeleine Films
5967,The Umbrellas of Cherbourg,14680,Parc Film
79593,The Tie That Binds,915,Hollywood Pictures
79593,The Tie That Binds,1382,PolyGram Filmed Entertainment
79593,The Tie That Binds,10201,Interscope Communications
47939,Three Wishes,11308,Savoy Pictures
36834,Total Eclipse,6849,Société Française de Production (SFP)
36834,Total Eclipse,16026,FIT Productions
36834,Total Eclipse,16027,Portman Productions
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",33,Universal Pictures
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",56,Amblin Entertainment
3512,Under Siege 2: Dark Territory,508,Regency Enterprises
3512,Under Siege 2: Dark Territory,6194,Warner Bros.
3512,Under Siege 2: Dark Territory,17825,Seagal/Nasso Productions
3512,Under Siege 2: Dark Territory,21480,Victor Company of Japan (JVC)
3512,Under Siege 2: Dark Territory,63906,Cutting Edge Films
52856,Unstrung Heroes,915,Hollywood Pictures
9560,A Walk in the Clouds,306,Twentieth Century Fox Film Corporation
9560,A Walk in the Clouds,2851,Zucker Brothers Productions
9804,Waterworld,33,Universal Pictures
9804,Waterworld,1073,Gordon Company
9804,Waterworld,1302,Davis Entertainment
9804,Waterworld,6092,Licht/Mueller Film Corporation
31611,White Man's Burden,6068,HBO
31611,White Man's Burden,6911,A BandApart
31611,White Man's Burden,11661,Rysher Entertainment
65796,Wild Bill,60,United Artists
49805,The Browning Version,4,Paramount Pictures
26258,Bushwhacked,306,Twentieth Century Fox Film Corporation
50797,Burnt by the Sun,5358,Canal+
50797,Burnt by the Sun,6453,Studio Trite
50797,Burnt by the Sun,6454,Caméra One
19155,Before the Rain,6367,PolyGram Audiovisuel
19155,Before the Rain,12745,British Screen Productions
76,Before Sunrise,98,Detour Film Production
76,Before Sunrise,6194,Warner Bros.
11017,Billy Madison,6365,Jack Giarraputo Productions
37141,The Babysitter,18189,Spelling Films International
9382,Boys on the Side,508,Regency Enterprises
9382,Boys on the Side,644,Alcor Films
9382,Boys on the Side,5358,Canal+
9382,Boys on the Side,10104,New Regency Pictures
9382,Boys on the Side,16192,Hera Productions
6715,The Cure,33,Universal Pictures
6715,The Cure,1595,Island World
18256,Castle Freak,4867,Full Moon Entertainment
22625,Circle of Friends,364,The Rank Organisation
22625,Circle of Friends,1898,Bórd Scannán na hÉireann
22625,Circle of Friends,4127,Lantana
22625,Circle of Friends,23808,Price Entertainment
2292,Clerks,14,Miramax Films
2292,Clerks,16934,View Askew Productions
1909,Don Juan DeMarco,12,New Line Cinema
1909,Don Juan DeMarco,70,American Zoetrope
8984,Disclosure,6194,Warner Bros.
8984,Disclosure,11407,Baltimore Pictures
61813,Dream Man,15709,Keystone Pictures
61813,Dream Man,52095,Dream Man Productions Inc
4954,Drop Zone,4,Paramount Pictures
62488,Destiny Turns on the Radio,11308,Savoy Pictures
62488,Destiny Turns on the Radio,11661,Rysher Entertainment
10531,Death and the Maiden,8,Fine Line Features
10531,Death and the Maiden,181,Channel Four Films
10531,Death and the Maiden,826,Capitol Films
10531,Death and the Maiden,3823,TF1 Films Production
10531,Death and the Maiden,5358,Canal+
10531,Death and the Maiden,8277,Flach Film
10531,Death and the Maiden,68141,Les Films de l'Astre
11929,Dolores Claiborne,97,Castle Rock Entertainment
11929,Dolores Claiborne,441,Columbia Pictures Corporation
8467,Dumb and Dumber,12,New Line Cinema
8467,Dumb and Dumber,11061,Motion Picture Corporation of America (MPCA)
10451,Eat Drink Man Woman,5528,Ang Lee Productions
10451,Eat Drink Man Woman,10565,Good Machine
10451,Eat Drink Man Woman,25345,Central Motion Pictures
20156,Exotica,14,Miramax Films
20156,Exotica,10166,Alliance Entertainment
20156,Exotica,12800,Ego Film Arts
18395,Exit to Eden,11308,Savoy Pictures
522,Ed Wood,9195,Touchstone Pictures
397,French Kiss,306,Twentieth Century Fox Film Corporation
397,French Kiss,1382,PolyGram Filmed Entertainment
397,French Kiss,10163,Working Title Films
397,French Kiss,34207,Prufrock Pictures
10525,Forget Paris,5,Columbia Pictures
10525,Forget Paris,97,Castle Rock Entertainment
27985,Far from Home: The Adventures of Yellow Dog,306,Twentieth Century Fox Film Corporation
15789,A Goofy Movie,2,Walt Disney Pictures
27303,Hideaway,559,TriStar Pictures
21183,Fluke,21,Metro-Goldwyn-Mayer
10954,Farinelli,1429,Italian International Film
10954,Farinelli,2359,Stéphan Films
10954,Farinelli,37581,MG
72031,The Glass Shield,14,Miramax Films
14275,Hoop Dreams,8,Fine Line Features
14275,Hoop Dreams,13042,Kartemquin Films
1024,Heavenly Creatures,11,WingNut Films
1024,Heavenly Creatures,14,Miramax Films
1024,Heavenly Creatures,294,New Zealand Film Commission
1024,Heavenly Creatures,2306,Fontana Productions
17207,Houseguest,175,Caravan Pictures
17207,Houseguest,915,Hollywood Pictures
13701,Immortal Beloved,5,Columbia Pictures
13701,Immortal Beloved,2630,Majestic Films International
13701,Immortal Beloved,4564,Icon Entertainment International
14819,Heavyweights,2,Walt Disney Pictures
14819,Heavyweights,175,Caravan Pictures
32631,The Hunted,33,Universal Pictures
32631,The Hunted,11393,Bregman/Baer Productions
11777,I.Q.,4,Paramount Pictures
628,Interview with the Vampire,360,Geffen Pictures
87729,Jefferson in Paris,2370,Merchant Ivory Productions
87729,Jefferson in Paris,9195,Touchstone Pictures
18713,The Jerky Boys,175,Caravan Pictures
18713,The Jerky Boys,9195,Touchstone Pictures
6280,Junior,33,Universal Pictures
6280,Junior,8816,Northern Lights Entertainment
9061,Just Cause,414,Fountainbridge Films
9061,Just Cause,6194,Warner Bros.
9061,Just Cause,36854,Lee Rich Productions
37108,A Kid in King Arthur's Court,2,Walt Disney Pictures
37108,A Kid in King Arthur's Court,4063,Trimark Pictures
6071,Kiss of Death,306,Twentieth Century Fox Film Corporation
11,Star Wars,1,Lucasfilm
11,Star Wars,306,Twentieth Century Fox Film Corporation
9587,Little Women,5,Columbia Pictures
19101,A Little Princess,6194,Warner Bros.
49980,Ladybird Ladybird,181,Channel Four Films
49980,Ladybird Ladybird,983,Parallax Pictures
17961,L'Enfer,9209,MK2 Productions
18183,Like Water for Chocolate,84803,Aviacsa
18183,Like Water for Chocolate,84804,Cinevista
4476,Legends of the Fall,348,Bedford Falls Productions
4476,Legends of the Fall,559,TriStar Pictures
4476,Legends of the Fall,1656,Pangaea
11008,Major Payne,33,Universal Pictures
47504,Little Odessa,8,Fine Line Features
47504,Little Odessa,12,New Line Cinema
47504,Little Odessa,285,Live Entertainment
32325,Mi Vida Loca,181,Channel Four Films
32325,Mi Vida Loca,2832,Cineville
