name,id
Bavaria Film and Television Fund,3236
Savoy Pictures,11308
Jet Tone Production,540
The Criterion Collection,10932
Cecchi Gori Group Tiger Cinematografica,371
Studio Babelsberg,264
Dieter Geissler Filmproduktion,1766
Cinevox Filmproduktion GmbH,1979
Canal Horizons,22029
Mat Films,22618
Cinétéléfilms,71842
Fine Line Features,8
Bórd Scannán na hÉireann,1898
Cigua Films,93488
D'Pelicula,93489
Couch Potatoe Productions,68229
Academy,38778
Mayfair Films,94477
Iberoamerica Films,94478
Fox Searchlight Pictures,43
BBC,5996
Portman Productions,16027
Zenith Entertainment,3644
American Playhouse,3906
Union Générale Cinématographique (UGC),7248
True Fiction Pictures,37909
Imagine Entertainment,23
Talisman Productions,8989
October Films,236
Guild,1214
Fastnet Films,5353
Paris Films Productions,386
Five Films,387
Robert et Raymond Hakim,11290
InterAL,30334
The Harvey Entertainment Company,11098
40 Acres & A Mule Filmworks,4319
"Kennedy/Marshall Company, The",7383
Superior Pictures,4532
Mundy Lane Entertainment,2510
Why Not Productions,729
Desperate Pictures,1474
Blurco,2765
The Teen Angst Movie Company,18902
Merchant Ivory Productions,20740
First Knight Productions,10158
Alcor Films,644
Donner/Shuler-Donner Productions,5739
Suftley,87394
The Booking Office,12909
Workin' Man Films,12910
JDI productions,13187
Lemon Sky Productions,13190
Seraphim Films,3557
The Ontario Film Development Corporation,1203
First Choice Films,2267
Atlantis Films,4350
Max Films Productions,7828
Super Écran,11578
Société Générale des Industries Culturelles du Québec (SOGIC),35859
Gramercy Pictures,37
Alphaville Films,11462
View Askew Productions,16934
Saban Entertainment,2106
Toei Company,9255
Comet Film Produktion GmbH,16561
Avrora Media,38959
Cobblestone Pictures,38960
Kino Link Company,37897
1492 Pictures,436
Party Productions,37890
"Samuel Goldwyn Company, The",28205
Killer Films,1422
Kardana Films,38692
Chemical Films,39861
Spring Creek Productions,705
Hawn / Sylbert Movie Company,16368
Butcher's Run Films,3864
Lightstorm Entertainment,574
Beta Film,1080
Madeleine Films,1147
Parc Film,14680
Société Française de Production (SFP),6849
FIT Productions,16026
Seagal/Nasso Productions,17825
Victor Company of Japan (JVC),21480
Cutting Edge Films,63906
Zucker Brothers Productions,2851
Gordon Company,1073
Davis Entertainment,1302
Licht/Mueller Film Corporation,6092
HBO,6068
A BandApart,6911
Studio Trite,6453
Caméra One,6454
PolyGram Audiovisuel,6367
Detour Film Production,98
Jack Giarraputo Productions,6365
Spelling Films International,18189
Hera Productions,16192
Island World,1595
Full Moon Entertainment,4867
Lantana,4127
Price Entertainment,23808
American Zoetrope,70
Baltimore Pictures,11407
Keystone Pictures,15709
Dream Man Productions Inc,52095
Capitol Films,826
Flach Film,8277
Les Films de l'Astre,68141
Ang Lee Productions,5528
Good Machine,10565
Central Motion Pictures,25345
Alliance Entertainment,10166
Ego Film Arts,12800
Prufrock Pictures,34207
Metro-Goldwyn-Mayer,21
Italian International Film,1429
Stéphan Films,2359
MG,37581
Kartemquin Films,13042
WingNut Films,11
New Zealand Film Commission,294
Fontana Productions,2306
Majestic Films International,2630
Bregman/Baer Productions,11393
Geffen Pictures,360
Merchant Ivory Productions,2370
Northern Lights Entertainment,8816
Fountainbridge Films,414
Lee Rich Productions,36854
Trimark Pictures,4063
Lucasfilm,1
Parallax Pictures,983
MK2 Productions,9209
Aviacsa,84803
Cinevista,84804
Bedford Falls Productions,348
Pangaea,1656
Live Entertainment,285
Cineville,2832
Home Box Office (HBO),3268
Showcase Entertaiment Inc.,36836
Samuel Goldwyn Company,798
Close Call Films,23022
Majestic Films International,20928
Newcomb Productions,89873
Wolper Organization,2428
Capella International,594
Cinehaus,761
TOEI,7260
Distant Justice Joint Venture,42935
Metrodome Films,11139
Filmwerks,7954
Ixtlan,4198
J D Productions,68551
Avalon Studios,293
New Zealand On Air,295
CineTel Pictures,17067
MG Entertainment,17068
Kopelson Entertainment,824
Punch Productions,2154
Arnold Kopelson Productions,16775
Gaumont,9
Gramercy Pictures (I),31715
MVP Films,37580
Wildwood Enterprises,316
Cecile Company,84839
Thousand Cranes Filmworks,84840
ARD/Degeto Film GmbH,6187
D.A. Films,6541
France2 Cinéma,7089
WMG Film,8923
N.E.F. Filmproduktion und Vertriebs GmbH,18495
RCS Films & TV,75913
Nomura Babcock & Brown,12883
Zespół Filmowy TOR,38
Télévision Suisse-Romande,1245
CED Productions,1610
Norstar Entertainment,16953
west wind entertainment,24946
Rich Animation Studios,4108
Jones Entertainment Group,29272
Skerry Productions,29273
Jerry Weintraub Productions,2596
Iguana Producciones,11134
Centropolis Entertainment,347
Carolco Entertainment,10320
Figment Films,359
The Glasgow Film Fund,980
Kino Korsakoff,78701
Tabasco films,6647
Instituto Mexicano de Cinematografía (IMCINE),8861
TeleMadrid,10015
1992 Number Four Limited Partnership,4733
MHA,4734
Shanghai Film Studios,1078
Era International Ltd,25299
Trilogy Entertainment Group,2231
Tales From The Crypt Holdings,69626
Sony Pictures Classics,58
Populist Pictures,14729
"Jackson/McHenry Company,The",37350
First Generation Films,4908
British Columbia Film Commission,36024
Ciby 2000,105
Film Victoria,11840
House & Moorhouse Films,39250
Beacon Pictures,10157
R.P. Productions,355
Les Films Alain Sarde,635
Timothy Burrill Productions,8131
Mace Neufeld Productions,2767
Crowvision Inc.,4028
Entertainment Media Investment Corporation,4029
Jeff Most Productions,4030
Edward R. Pressman Film,6455
Aleor Films,16823
Hanna-Barbera Productions,1353
New Deal Productions,1947
Think Again Productions,37294
Riot of Color,37295
Arte,201
Nomad Films,12914
Omega Film GmbH,12915
Without Walls,12916
Dark Horse Entertainment,552
Propaganda Films,278
David Foster Productions,496
Turman-Foster Company,662
Renaissance Pictures,467
Signature Pictures,2982
JVC Entertainment Networks,4248
Tig Productions,335
Kasdan Pictures,13040
Paragon Entertainment Corp.,24217
Tool Shed Productions,21857
Little Bird,11358
Strand Releasing,3923
Strand Home Video,25583
Eve Productions Inc.,170
Bolex Brothers,6215
Lumen Films,6216
Tara,6217
Capcom,7220
Snowback Productions,33419
Bates Entertainmant,16835
A-Pix Entertainment,14280
Devin Entertainment,37300
Theodore Thomas Productions,90509
Overseas FilmGroup,888
Skyline Entertainment Partners,38179
Arrow,38289
Frozen Rope Productions Inc.,38276
Trans-Film,2662
Initial Groupe,22240
Fallingcloud,30655
Orion Pictures,41
HBO Independent Productions,21222
NBB Unit One Film Partners,82606
Longview Entertainment,82607
"Ruddy Morgan Organization, The",89311
Barcelona Films,16737
Enigma Productions,7049
BSB,58750
NatWest Ventures,79560
Fujisankei,79561
Eddie Murphy Productions,30
Orion Pictures Corporation,14150
Heathrow Productions,18070
Dorset Productions,10098
Robert H. Solo Productions,10099
Mainline Pictures,70969
HBO Films,7429
Parkway Productions,1350
Epic Productions,1988
RCS Video,23246
Cliffhanger Productions,45728
Pioneer,45729
Maverick Picture Company,36863
Cecchi Gori Europa N.V.,36864
Eye Productions,36865
Pentamerica,68062
Alphaville Productions,6556
Beijing Film Studio,708
China Film Co-Production Corporation,2269
Nelson Entertainment,365
Mirage,19534
Universal Studios,13
Canal Plus,104
Can I Watch,89521
Islet,89522
KPVI,89523
Sidley Wright & Associates,11751
Spelling Entertainment,272
IRS Media,1930
Republic Pictures (II),10348
Det Danske Filminstitut,118
Costa do Castelo Filmes,10598
Neue Constantin Film,13096
House of Spirits Film,33027
PolyGram Filmproduktion,23873
Hell's Kitchen Films,2307
Kouf/Bigelow Productions,3589
Oak Productions,55528
Nelvana Limited,1023
Argos Films,6116
Oshima Productions,13139
Shibata Organisation,14668
Renaissance Films,3102
American Playhouse Theatrical Films,8827
Rastar Films,1177
Night Life Inc.,16827
Blue Wolf,10230
Thin Man Films,10100
Pacific Western,1280
Allied Filmmakers,1755
Platinum Pictures,4972
Mikado Film,11912
Lenfilm Studio,27593
Adventure Pictures,36765
Clinica Estetico,1274
New South Wales Film & Television Office,418
The Australian Film Commission,5186
Jan Chapman Productions,14089
Walrus & Associates,8780
Brooksfilms,5612
Hilary Henkin,36907
Seon Film Productions,39712
Romper Stomper Pty. Ltd.,50619
Ruby in Paradise,75712
Full Crew/Say Yea,75713
David V. Picker Productions,14374
Nessa Hyams,36789
Carrie Productions Inc.,36790
Société Nouvelle de Cinématographie,249
Santo Domingo Film & Music Video,28822
Fron Film Production,37265
Polar Entertainment,17411
Shadowlands Productions,5553
Avenue Entertainment,408
Sarah Radclyffe Productions - Sirens Limited,25158
British Screen Finance Ltd,25159
Samson Productions II,25160
Maiden Movies,36889
Robert Evans Company,94856
Shaw Brothers,5798
Columbia Pictures Industries,5848
Columbia Films S.A.,6386
Walt Disney,5888
Nintendo,12288
Rhombus Media,164
Tim Burton Productions,8601
Skellington Productions Inc.,8835
Davis-Films,342
August Entertainment,3322
Turner Pictures (I),6189
Keystone Film Company (II),37572
DD Productions,1524
CNCAIMC,6566
Some Film,2658
El Deseo S.A.,11736
Channel 4 Television,5778
SVT Drama,157
Nordisk Film,235
Svensk Filmindustri (SF),6181
Svenska Filminstitutet (SFI),7446
Swelter Films,55150
Buckeye Films,55151
King World Entertainment,23506
Columbia Pictures Television,3614
Telling Pictures,58855
Sacher Film,9364
Banfilm,20769
Oscar Kramer S.A.,37352
Aura Film,37353
Mojame S.A.,37354
Hughes Entertainment,477
T2 Productions,61409
Shapiro-Glickenhaus Entertainment,16636
The Guber-Peters Company,4357
Strong Heart/Demme Production,55072
Walt Disney Productions,3166
Walt Disney Animation Studios,6125
Silver Screen Partners IV,10282
RKO Radio Pictures,6
Sodaperaga Productions,7399
Fontaine Sarl,38963
Warner Brothers/Seven Arts,4051
Long Shong Pictures,5551
Ubu Productions,46108
Fox 2000 Pictures,711
Rosa Productions,81131
Canadian Film Development Corporation (CFDC),4952
Trans Atlantic Entertainment,15343
The Chess Club,65446
El Deseo,49
Lolafilms,6861
Sociedad General de Televisión (Sogetel),20295
Fernando Trueba Producciones Cinematográficas,21108
TF1 Films Productions,356
France Média,75423
Les Films du Scarabée,75424
The Vault,6032
WF/X,38091
Road Movies Filmproduktion GmbH,45
BIM Distribuzione,225
Filmstiftung Nordrhein-Westfalen,315
Diaphana Films,744
Road Movies Dritte Produktionen,982
Degeto Film,986
Messidor Films,14245
Dark Matter Productions,38180
Granada Film Productions,247
Mainstream S.A.,271
British Screen Productions,20777
Marvin Worth Productions,976
ABC Productions,3668
Ice Films,14191
Roxy Film,101
Made in Munich Filmproduktion,80481
Senator Film Produktion,191
Cruise/Wagner Productions,44
Icicle,7325
Film Fonds,7326
Pandora Filmproduktion (,7327
Constantin Film,47
Park Chul-Soo Films Ltd.,6636
Distant Horizons,1066
Koukus Troika,38208
Toron Screen Corporation,38209
Titanus,641
Paris Film,7046
Newcomm,38178
Lakeshore Entertainment,126
Komuna,653
Barrandov Studios,6242
Per Holst Filmproduktion,17666
FM Entertainment International N.V.,10354
Government of West Bengal,1984
Satyajit Ray Productions,26424
Best Brains,1310
Warner Bros. Family Entertainment,3592
Courtside Seats Productions,55527
Dino de Laurentiis Cinematografica,1216
Marianne Productions,1497
Libra Pictures,4106
129 Productions,16832
Filmstudio,46654
Athos Films,54659
Chaumiane,63558
Films A2,875
Les Films de la Tour,900
Little Bear,16772
Mike Lobell Productions,52599
Opala Productions,5270
Centre National de la Cinématographie,310
Odessa Films,1712
Bioskop Film,5982
Van Peebles Films,8331
Orpheus Films,38955
Dan Films,1854
Merseyside Film Production Fund,8095
Evzen Kolar Productions,26109
Favorite Films,4655
Maurice McEndree Productions,452
Walter Reade Organization Inc.,453
Faces International Films,454
MDP Worldwide,10828
Selima Films AVV,38114
Noon Attack Pictures,55140
Silver Screen Partners III,554
The Bubble Factory,27128
American Films,38181
JVC Entertainment,182
Pandora Filmproduktion,254
Newmarket Capital Group,506
12 Gauge Productions,663
Hachette Première,582
Centaur Pictures Inc.,17777
Gaumont International,7961
France 3 Cinema,16804
Wood-Thomas Pictures,33624
Atman Entertainment,54051
Fred Berner Films,89312
Koninck Studios,3541
Image Forum,64448
Ruddy Morgan Productions,6137
PVM Entertainment,10171
Po' Boy Productions,11787
Price,1121
Silvio Berlusconi Communications,8694
Fonds Eurimages du Conseil de l'Europe,11011
Urania Film,12242
K.G Productions,13837
Audifilm,20849
Bibo Productions,86308
Constant c Productions,23370
Glem Production,28400
PXP Productions,93503
MTM Cineteve,740
Pro 7,9023
Bandai Visual Company,528
Kodansha,6999
Production I.G.,12657
Renegade Films,19262
Aardman Animations,297
Enterprise Productions,3333
Roberts Pictures Inc.,19760
Steelwork Films,12450
Mediaworks,12451
Hawk Films,88
the Canadian Council,6697
The Canada Manitoba Cultural Industries Development Office (CIDO),6698
The Manitoba Arts Council,6700
Anuline,36995
Universal City Studios,69627
Riofilme,21454
Royal Film,998
Bavaria Film,1704
B.A. Produktion,21948
Perathon Film-und Fernsehproduktions,23417
Village Roadshow Pictures,79
Available Light Productions,4125
Great Oaks Entertainment,2173
BBC Arena,17179
Charles Matthau-Jerry Tokofsky-John Davis Productions,17064
MACT Productions,393
Stefi 2,5983
Lichtblick Film- und Fernsehproduktion (I),16975
Magnolia Mae Films,18188
Intrinsica Films,86296
Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,11796
Sol'oeil Films,43860
Lamy Films,66451
Ministère des Affaires étrangères et du Développement International,72598
Studio Kankourama,72471
Cinegrit,72472
Direction du Cinema Haute Volta,72469
Cocinor,512
Les Films Marceau,2260
Produzioni Europee Associati (PEA),7508
PEA,73349
Independent Television Service,1152
Cicada Films,21072
Kentucky Educational Television,21073
NEA,21074
Sinkhole Productions Inc.,21075
TMF Metro,21076
Noel Gay Motion Picture Company,358
Film4,9349
Recorded Picture Company (RPC),11561
Jeremy Thomas Productions,14698
France 2 Cinéma,15671
Fiction Films,20783
Mandalay Entertainment,1236
Motion Picture Corporation of America,2090
GEA Cinematográfica,61085
MK2 Production,6274
First Run Features,4095
Tangent Films International,50180
Initial Productions,231
Cabin Fever Entertainment,21304
Rio Dulce,11948
Rastar Pictures,2070
Nickelodeon Movies,2348
Electric,53407
TEAM Communications Group,53408
Prairie Oyster Productions,28206
Compagnie Eric Rohmer (CER),30232
Fuchs/Burg,87554
Új Budapest Filmstudió,1655
Vega Film,8138
Producciones Tepeyac,41954
Dismage,56112
Rome Paris Films,109
Les Films du Losange,223
TLA Releasing,328
Cobra Film,2572
The Kushner-Locke Company,2499
Brian Grazer/Scott Rudin Productions,90663
Red Mullet Productions,24827
Chestnut Hill Productions,26192
Chicago Pacific Entertainment,2377
"Zanuck Company, The",20004
Haft Entertainment,1363
Matchmaker Films,1443
Lux Film,1679
Champs-Élysées Productions,13437
Zeta Entertainment,5333
Lumière,11793
Salon Films,21331
Cofimage 6,78239
Giai Phong Film Studio,78240
Eleventh Street Production,93380
Jon Kilik,93381
Vertigo Productions,2756
Shochiku Company,4641
Alfran Productions,10211
Olga-Film GmbH (München),99
Golden Way Films Ltd.,3054
Pope Productions,2974
Toho Company,882
Australian Film Finance Corporation (AFFC),8724
Meridian Films,31317
Sandcastle 5 Productions,37163
Roger Birnbaum Productions,961
Albatros Produktion,2592
Ixtlan Productions,525
Breakheart Films,15123
Toho-Towa,657
Mutual Film Company,762
Marubeni,4650
British Broadcasting Corporation (BBC),15278
Yorktown Productions,1484
Kanzaman,4169
Kan Zamia-a,90100
Polaris Pictures,90101
Universal Cartoon Studios,4285
Summit Entertainment,491
Elite-Tonfilm-Produktion GmbH,52003
IMA Productions,4790
La Sept-Arte,11332
Ima Films,30576
Loew's,1460
Jurow-Shepherd,11355
Alfred J. Hitchcock Productions,10715
The Mirisch Company,11241
The Mirisch Corporation,219
Ashton Productions,11982
Loew's Incorporated,31892
Selznick International Pictures,1553
Mercury Productions,11447
Stanley Kubrick Productions,385
Walter Wanger Productions,10096
Jerry Wald Productions,10917
Allied Artists Pictures,4928
Arthur Freed Production,12668
Michael Todd Company,1258
Liberty Films (II),11770
Hunt Stromberg Productions,5235
Premier Productions,16305
Republic Pictures,1432
Gaumont British Picture Corporation,4978
Lewis Milestone Productions,15524
Howard Hughes Productions,12258
Laurel Group,638
Off Color Films,3139
Image Ten,14121
Market Square Productions,14122
Independent Film Distributors,262
Romulus Films,3632
Santana Pictures Corporation,3248
Rizzoli-Haggiag,15931
Avon Production,100
Frank Capra Productions,9330
Walter Wagner Productions,34103
Grand National Pictures,5999
Zion Meyers Productions,19729
D & B Films Co. Ltd.,22060
Jacaranda Films,21154
Investec Merchant Bank,21155
BMG Independents,38567
Pacific Motion Pictures Corporation,31551
Stewart Pictures,78106
Cappa Productions,691
Gramercy Pictures (II),17218
Dor Film Produktionsgesellschaft GmbH,608
Kuchenreuther Filmproduktion GmbH,610
Neo Productions,887
Metropolitan Filmexport,656
Circle Films,11273
DuArt,20049
Redemption Productions,19529
Tinderbox Films,44774
Simian Films,10153
Touchwood Pacific Partners 1,8830
Multicom entertainment,30702
Robert Wise Productions,6304
Argyle Enterprises,6305
Allied Vision,5570
World Film Music Limited,38436
Clavius Base,38944
Cinema 7,38555
World Productions,10532
Forge,2980
The Steve Tisch Company,21920
Constellation Films,457
Paramount,6033
Jam Productions,21583
Chal Productions,67930
Normal Life Productions,20809
Revolution Films,163
Azucar Films,40945
Bazmark Films,240
Independent Pictures (II),2833
The Alfred Shay Company Inc.,8824
First Look Pictures,13534
Walt Disney Television Animation,3475
Vic Films Productions,11707
J. Arthur Rank Organisation,14377
Javelin Films,17339
David L. Wolper Productions,3434
Transatlantic Films,55239
Achilles,3185
Rollins-Joffe Productions,13954
Jack Rollins & Charles H. Joffe Productions,13309
Prominent Features,11352
HandMade Films,20076
Python (Monty) Pictures,58752
Artista Management,8844
Peerford Ltd.,8846
Redford-Ritchie Productions,8776
Tatira-Hiller Productions,273
Leland Hayward Productions,18875
Great American Films Limited Partnership,137
Vestron Pictures,12360
Lionsgate,1632
Dog Eat Dog Productions Inc.,26198
Hemdale Film Corporation,469
Gladden Entertainment,1648
Bill Graham Films,78806
Palace Pictures,927
Nippon Film Development and Finance Inc.,1202
Eurotrustees,8876
GGR,67780
Zupnik Cinema Group II,67781
Keith Barish Productions,964
Incorporated Television Company,1155
Orenda Films,38857
Harmony Gold,7901
Canned Pictures Inc,54301
Charles K. Feldman Group,1317
Discovery Channel Productions,3358
Wega Film,224
Bac Films,208
Galatée Films,793
Télévision Suisse-Romande (TSR),8453
Conseil Général de l'Aveyron,19264
Les Productions JMH,19289
Delta Images,26009
Redwave Films,8764
Public Television Playhouse Inc.,65387
C&P Productions,3989
Center for Film and Audiovisual Arts of the French Community of Belgium,23210
Sony Pictures,34
Woodward Productions,39526
Weiny Bro Prods.,39527
Jewel Productions,10257
Pimlico Films,10258
Incorporated Television Company (ITC),15980
AVCO Embassy Pictures,494
EDI,495
Debra Hill Productions,498
Goldcrest Films International,500
International Film Investors,502
City Film,664
Wescom Productions,10312
AMLF,1869
RAI Radiotelevisione Italiana,20091
Vision Comunicaciones,79619
Catalina Cinema,79620
Arauco Films,79621
Python (Monty) Pictures Limited,416
Michael White Productions,463
National Film Trustee Company,464
Twickenham Film Studios,465
Jürgen Brüning Filmproduktion,1373
Dangerous to Know Swell Co.,56302
Hustler White Productions,56303
Big Sister Production,44467
Gemini Films,6584
Madragoa Filmes,11143
Warren Miller Entertainment,17183
David Sonenberg Production,8738
Das Films,8739
Peripheria,33266
Dussault,2408
France 3 (FR3),36079
Pandora Cinema,185
Athanor,3554
Heart of Europe Prague K Productions,23483
Kominsk,23484
Bryan Foy Productions,5229
Eagle-Lion Films,4927
Edward Small Productions,13479
Scalera Film S.p.a.,6084
Invicta Films,22965
Jadran Film,168
Artemis Film,1521
Franz Seitz Filmproduktion,1548
Film Polski,12838
Hallelujah Films,59351
GGB-14,59352
Keep Films,3862
UGC PH,23932
Les Films du Carrosse,53
Anouchka Films,14679
Rai Tre Radiotelevisione Italiana,10209
Elsevira,2238
Erbograph Co.,2240
Vendex,2241
Sofinergie Films,14755
Fondation GAN pour le Cinéma,23677
Union Générale Cinématographique (UGC),25022
Sofinergie 2,25023
Investimage 2,25024
"Zespól Filmowy ""Tor""",7984
Norsk Film,12984
Sidéral Productions,63751
Greenpoint Films,12918
Bryna Productions,611
Cineplex-Odeon Films,5231
Royal Oaks Entertainment,953
Amritraj / Stevens Entertainment,40644
Tiger Moth Productions,12204
Penta Films,6651
A.M.A. Film,17087
Ferndale Films,1468
Granada Television,14063
Radio Telefís Éireann (RTÉ),40605
Outlaw Productions,889
Virgin,1419
Atchafalaya,36289
Beyond Films,2081
M & A,62139
Third Floor Productions,49628
Artisan Entertainment,2188
Fantasy Films,286
Act III Communications,1153
The Princess Bride Ltd.,49243
Buttercup Films Ltd.,49244
Embassy International Pictures,10214
SLM Production Group,396
Brandywine Productions,19747
Constantin Film Produktion,5755
Arturo González Producciones Cinematográficas S.A.,42498
Handmade Films Ltd.,146
Orion-Nova Productions,10212
Horizon Pictures (II),11356
Zoetrope Studios,26663
Rafran Cinematografica,218
Finanzia San Marco,11386
London Film Productions,659
British Lion Film Corporation,660
Winkler Films,8880
Nippon Herald Films,1598
Greenwich Film Productions,1657
Herald Ace,8886
Film Workshop,3618
Golden Princess Film Production Limited,6213
Shamley Productions,10717
The Coppola Company,536
Natant,50819
Mosfilm,5120
Radiant Film GmbH,209
Süddeutscher Rundfunk,210
Twin Bros. Productions,11344
Hemdale Film,3952
Cinema 84,4764
Euro Film Funding,7745
Avalon/NFU Studios,466
Freddie Fields Productions,27349
Brandenberg,3593
WNET Channel 13 New York,10492
Lawrence Turman,8793
Universal International Pictures (UI),10330
cechi gori group,6643
Cineriz,9387
Francinex,10882
Penthouse,6226
Long Road Productions,10208
CBS Entertainment Productions,3902
A&M Films,11043
Peregrine,11272
The Body,90896
Act III,90897
Nero-Film AG,43854
Rosebud Productions,47380
EMI Films Ltd.,538
Les Films Galaxie,9377
France 2 (FR2),11359
MC Productions,623
SC Entertainment,2488
U-Drive Productions,20448
Black Snake,21612
Grokenberger Film Produktion,42043
Mainichi Broadcasting System (MBS),3363
Tokyo Movie Shinsha (TMS),9155
TMS Entertainment,10919
Akira Committee Company Ltd.,10920
Sumitomo Corporation,10921
Davis-Panzer Productions,2737
Thorn EMI Screen Entertainment,6179
Jalem Productions,11496
Crossbow Productions,1296
Gruskoff/Venture Films,1297
Jouer Limited,1298
Locus Solus Entertainment,184
Pyramide Productions,186
Victor Musical Industries,187
ERA International,21329
Century Communications,21330
Roy Export Company Establishment,71975
Stanley Kramer Productions,893
New World Pictures,1950
Cinemarque Entertainment,10170
Spinal Tap Prod.,3566
IRE Productions,16644
Santa Fe Institute for Regional Education,16645
Lorimar Film Entertainment,1176
Indo-British,501
National Film Development Corporation of India,503
Carolina Bank,504
The Saul Zaentz Company,5237
National Film Finance Corporation (NFFC),11493
Curzon Film Distributors,11494
Delphi III Productions,3088
Tin Blue,8834
